codepath,yamlpath,complexity
gramex.cache._delete_temp_files,*,3
gramex.cache.open,*,13
gramex.cache.*,cache,49
gramex.cache.save,url.*.handler=FormHandler|FilterHandler|MLHandler|DriverHandler,4
gramex.cache.query,url.*.handler=FormHandler|FilterHandler|MLHandler|DriverHandler,9
gramex.cache.stat,*,2
gramex.cache.reload_module,*,5
gramex.cache.urlfetch,alert,6
gramex.cache.Subprocess.*,url.*.handler=ProcessHandler|Process,25
gramex.cache.daemon,url.*.handler=ComicHandler|Comic,24
gramex.cache.daemon,import.*.path=$GRAMEXAPPS/languagetool/gramex.yaml,24
gramex.cache.get_store,app.session,6
gramex.cache.get_store,url.*.kwargs.store,6
gramex.cache.KeyStore.*,app.session.type=memory,14
gramex.cache.KeyStore.*,url.*.kwargs.store.type=memory,14
gramex.cache.RedisStore.*,app.session.type=redis,10
gramex.cache.RedisStore.*,url.*.kwargs.store.type=redis,10
gramex.cache.SQLiteStore.*,app.session.type=sqlite,5
gramex.cache.SQLiteStore.*,url.*.kwargs.store.type=sqlite,5
gramex.cache.HDF5Store.*,app.session.type=hdf5,18
gramex.cache.HDF5Store.*,url.*.kwargs.store.type=hdf5,18
gramex.cache.JSONStore.*,app.session.type=json,15
gramex.cache.JSONStore.*,url.*.kwargs.store.type=json,15
gramex.config.*,*,158
gramex.data.*,url.*.handler=FormHandler|FilterHandler|MLHandler|DriverHandler,348
gramex.debug.*,TODO - if any PY code uses gramex.debug,32
gramex.install.*,TODO - Gramex app installation & management,164
gramex.license.*,TODO - Gramex enterprise license management,9
gramex.migrate.*,url.*.handler=GoogleAuth|SimpleAuth|OAuth2|FacebookAuth|TwitterAuth|SAMLAuth|SAMLAuth2|LDAPAuth|DBAuth|IntegratedAuth|SMSAuth|EmailAuth,3
gramex.ml.Classifier.*,url.*.handler=ModelHandler,15
gramex.ml._conda_r_home,TODO - if any PY code uses gramex.ml.r,4
gramex.ml.r,TODO - if any PY code uses gramex.ml.r,11
gramex.ml.groupmeans,TODO - if any PY code use gramex.ml.groupmeans,11
gramex.ml.weighted_avg,TODO - if any PY code use gramex.ml.groupmeans,1
gramex.ml._google_translate,url.*.kwargs.function=gramex.ml.translater,5
gramex.ml.translate,url.*.kwargs.function=gramex.ml.translater,10
gramex.ml.translater,url.*.kwargs.function=gramex.ml.translater,1
gramex.ml.languagetool,import.*.path=$GRAMEXAPPS/languagetool/gramex.yaml,5
gramex.ml.languagetoolrequest,import.*.path=$GRAMEXAPPS/languagetool/gramex.yaml,7
gramex.ml.languagetool_download,import.*.path=$GRAMEXAPPS/languagetool/gramex.yaml,3
gramex.ml.*,TODO - if any PY code uses topcause,3
gramex.ml_api.*,url.*.handler=MLHandler|ML,55
gramex.pynode.*,url.*.handler=ComicHandler|Comic,17
gramex.scale.*,TODO - if any PY code uses gramex.scale,13
gramex.secrets.commandline,TODO - if deployment uses secrets,6
gramex.sm_api.*,url.*.handler=MLHandler|ML,20
gramex.topcause.*,TODO - if any PY code uses topcause,15
gramex.transformers.*,url.*.handler=MLHandler|ML,31
gramex.winservice.*,TODO - if app is deployed on Windows server,22
gramex.__init__.*,*,49
gramex.apps.admin2.*,import.*.path=$GRAMEXAPPS/admin2/gramex.yaml,53
gramex.apps.filemanager.*,import.*.path=$GRAMEXAPPS/filemanager/gramex.yaml,7
gramex.apps.logviewer.*,import.*.path=$GRAMEXAPPS/logviewer/gramex.yaml,61
gramex.apps.mail.*,import.*.path=$GRAMEXAPPS/mail/gramex.yaml,2
gramex.apps.ui.*,import.*.path=$GRAMEXAPPS/ui/gramex.yaml,28
gramex.apps.uifactory.*,import.*.path=$GRAMEXAPPS/uifactory/gramex.yaml,21
gramex.apps.update.*,import.*.path=$GRAMEXAPPS/update/gramex.yaml,14
gramex.handlers.authhandler.AuthHandler.*,url.*.handler=GoogleAuth|SimpleAuth|OAuth2|FacebookAuth|TwitterAuth|SAMLAuth|SAMLAuth2|LDAPAuth|DBAuth|IntegratedAuth|SMSAuth|EmailAuth,35
gramex.handlers.authhandler.LogoutHandler.*,url.*.handler=LogoutHandler,4
gramex.handlers.authhandler.GoogleAuth.*,url.*.handler=GoogleAuth,5
gramex.handlers.authhandler.SimpleAuth.*,url.*.handler=SimpleAuth,5
gramex.handlers.basehandler.BaseMixin.setup,url,2
gramex.handlers.basehandler.BaseMixin.clear_special_keys,url,3
gramex.handlers.basehandler.BaseMixin.get_list,url,5
gramex.handlers.basehandler.BaseMixin.setup_httpmethods,url.*.kwargs.methods,2
gramex.handlers.basehandler.BaseMixin.check_http_method,url.*.kwargs.methods,2
gramex.handlers.basehandler.BaseMixin.setup_cors,url.*.kwargs.cors,5
gramex.handlers.basehandler.BaseMixin.check_cors,url.*.kwargs.kwargs,3
gramex.handlers.basehandler.BaseMixin.cors_origin,url.*.kwargs.cors,5
gramex.handlers.basehandler.BaseMixin._cors_options,url.*.kwargs.cors,9
gramex.handlers.basehandler.BaseMixin.setup_default_kwargs,url,1
gramex.handlers.basehandler.BaseMixin.setup_transform,url.*.kwargs.session,2
gramex.handlers.basehandler.BaseMixin._purge_keys,url.*.kwargs.auth,7
gramex.handlers.basehandler.BaseMixin._get_store,url.*.kwargs.cache,2
gramex.handlers.basehandler.BaseMixin.setup_session,url.*.kwargs.session,3
gramex.handlers.basehandler.BaseMixin.setup_ratelimit,url.*.kwargs.ratelimit,18
gramex.handlers.basehandler.BaseMixin.reset_ratelimit,url.*.kwargs.ratelimit,2
gramex.handlers.basehandler.BaseMixin.setup_redirect,url.*.kwargs.redirect,13
gramex.handlers.basehandler.BaseMixin.setup_auth,url.*.kwargs.auth,8
gramex.handlers.basehandler.BaseMixin.authorize,url.*.kwargs.auth,1
gramex.handlers.basehandler.BaseMixin.setup_log,url.*.kwargs.log,1
gramex.handlers.basehandler.BaseMixin._error_fn,url.*.kwargs.error,5
gramex.handlers.basehandler.BaseMixin.setup_error,url.*.kwargs.error,13
gramex.handlers.basehandler.BaseMixin.setup_xsrf,url.*.kwargs.xsrf,1
gramex.handlers.basehandler.BaseMixin.xsrf_check_required,url,1
gramex.handlers.basehandler.BaseMixin.xsrf_ajax,url,2
gramex.handlers.basehandler.BaseMixin.noop,url,1
gramex.handlers.basehandler.BaseMixin.save_redirect_page,url.*.kwargs.redirect,3
gramex.handlers.basehandler.BaseMixin.redirect_next,url.*.kwargs.redirect,2
