/d/site/gramener.com/viz/async-gramex/gramex/apps/admin

/d/site/gramener.com/viz/async-gramex/gramex/apps/admin2

/d/site/gramener.com/viz/async-gramex/gramex/apps/capture

/d/site/gramener.com/viz/async-gramex/gramex/apps/filemanager

/d/site/gramener.com/viz/async-gramex/gramex/apps/logviewer

/d/site/gramener.com/viz/async-gramex/gramex/apps/pynode

/d/site/gramener.com/viz/async-gramex/gramex/apps/ui
install	trim-newlines	high	npm install node-sass@6.0.1	Regular Expression Denial of Service	https://npmjs.com/advisories/1753	node-sass>meow>trim-newlines	Y
review	merge	high	>=2.1.1	Prototype Pollution	https://npmjs.com/advisories/1666	@vue/cli>@vue/cli-ui>watch>exec-sh>merge
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli>@vue/cli-ui>globby>fast-glob>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli>globby>fast-glob>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-plugin-eslint>globby>fast-glob>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-service>globby>fast-glob>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-plugin-babel>webpack>watchpack>watchpack-chokidar2>chokidar>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-plugin-eslint>webpack>watchpack>watchpack-chokidar2>chokidar>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-service>webpack>watchpack>watchpack-chokidar2>chokidar>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-service>copy-webpack-plugin>glob-parent
review	glob-parent	moderate	>=5.1.2	Regular expression denial of service	https://npmjs.com/advisories/1751	@vue/cli-service-global>@vue/cli-service>webpack-dev-server>chokidar>glob-parent

/d/site/gramener.com/viz/async-gramex/gramex/apps/uifactory

