NAME                                VERSION      TYPE 
@babel/code-frame                   7.24.2       npm   
@babel/helper-validator-identifier  7.24.5       npm   
@babel/highlight                    7.24.5       npm   
@colors/colors                      1.6.0        npm   
@dabh/diagnostics                   2.0.3        npm   
@emnapi/runtime                     1.2.0        npm   
@esbuild/android-arm                0.18.20      npm   
@esbuild/android-arm64              0.18.20      npm   
@esbuild/android-x64                0.18.20      npm   
@esbuild/darwin-arm64               0.18.20      npm   
@esbuild/darwin-x64                 0.18.20      npm   
@esbuild/freebsd-arm64              0.18.20      npm   
@esbuild/freebsd-x64                0.18.20      npm   
@esbuild/linux-arm                  0.18.20      npm   
@esbuild/linux-arm64                0.18.20      npm   
@esbuild/linux-ia32                 0.18.20      npm   
@esbuild/linux-loong64              0.18.20      npm   
@esbuild/linux-mips64el             0.18.20      npm   
@esbuild/linux-ppc64                0.18.20      npm   
@esbuild/linux-riscv64              0.18.20      npm   
@esbuild/linux-s390x                0.18.20      npm   
@esbuild/linux-x64                  0.18.20      npm   
@esbuild/netbsd-x64                 0.18.20      npm   
@esbuild/openbsd-x64                0.18.20      npm   
@esbuild/sunos-x64                  0.18.20      npm   
@esbuild/win32-arm64                0.18.20      npm   
@esbuild/win32-ia32                 0.18.20      npm   
@esbuild/win32-x64                  0.18.20      npm   
@img/sharp-darwin-arm64             0.33.4       npm   
@img/sharp-darwin-x64               0.33.4       npm   
@img/sharp-libvips-darwin-arm64     1.0.2        npm   
@img/sharp-libvips-darwin-x64       1.0.2        npm   
@img/sharp-libvips-linux-arm        1.0.2        npm   
@img/sharp-libvips-linux-arm64      1.0.2        npm   
@img/sharp-libvips-linux-s390x      1.0.2        npm   
@img/sharp-libvips-linux-x64        1.0.2        npm   
@img/sharp-libvips-linuxmusl-arm64  1.0.2        npm   
@img/sharp-libvips-linuxmusl-x64    1.0.2        npm   
@img/sharp-linux-arm                0.33.4       npm   
@img/sharp-linux-arm64              0.33.4       npm   
@img/sharp-linux-s390x              0.33.4       npm   
@img/sharp-linux-x64                0.33.4       npm   
@img/sharp-linuxmusl-arm64          0.33.4       npm   
@img/sharp-linuxmusl-x64            0.33.4       npm   
@img/sharp-wasm32                   0.33.4       npm   
@img/sharp-win32-ia32               0.33.4       npm   
@img/sharp-win32-x64                0.33.4       npm   
@popperjs/core                      2.11.8       npm   
@puppeteer/browsers                 0.5.0        npm   
@swc/helpers                        0.4.14       npm   
@swc/helpers                        0.4.36       npm   
@types/node                         20.12.12     npm   
@types/triple-beam                  1.3.5        npm   
@types/yauzl                        2.10.3       npm   
accepts                             1.3.8        npm   
agent-base                          6.0.2        npm   
almost-equal                        1.1.0        npm   
ansi-regex                          5.0.1        npm   
ansi-styles                         3.2.1        npm   
ansi-styles                         4.3.0        npm   
anymatch                            3.1.3        npm   
archiver                            5.2.0        npm   
archiver-utils                      2.1.0        npm   
archiver-utils                      3.0.4        npm   
argparse                            2.0.1        npm   
array-flatten                       1.1.1        npm   
async                               3.2.5        npm   
balanced-match                      1.0.2        npm   
base64-js                           1.5.1        npm   
binary-extensions                   2.3.0        npm   
bl                                  4.1.0        npm   
body-parser                         1.20.2       npm   
boolbase                            1.0.0        npm   
bootstrap                           4.6.2        npm   
bootstrap                           5.3.3        npm   
brace-expansion                     1.1.11       npm   
brace-expansion                     2.0.1        npm   
braces                              3.0.2        npm   
brotli                              1.3.3        npm   
buffer                              5.7.1        npm   
buffer-crc32                        0.2.13       npm   
bytes                               3.1.2        npm   
call-bind                           1.0.7        npm   
callsites                           3.1.0        npm   
capture                             1.0.0        npm   
chalk                               2.4.2        npm   
cheerio                             1.0.0-rc.10  npm   
cheerio-select                      1.6.0        npm   
chokidar                            3.6.0        npm   
chownr                              1.1.4        npm   
chromium-bidi                       0.4.7        npm   
clamp                               1.0.1        npm   
cliui                               8.0.1        npm   
clone                               2.1.2        npm   
color                               3.2.1        npm   
color                               4.2.3        npm   
color-convert                       1.9.3        npm   
color-convert                       2.0.1        npm   
color-interpolate                   1.0.5        npm   
color-name                          1.1.3        npm   
color-name                          1.1.4        npm   
color-parse                         1.4.3        npm   
color-space                         1.16.0       npm   
color-string                        1.9.1        npm   
colorspace                          1.1.4        npm   
comicgen                            1.9.9        npm   
compress-commons                    4.1.2        npm   
concat-map                          0.0.1        npm   
content-disposition                 0.5.4        npm   
content-type                        1.0.5        npm   
cookie                              0.5.0        npm   
cookie                              0.6.0        npm   
cookie-signature                    1.0.6        npm   
core-util-is                        1.0.3        npm   
cosmiconfig                         8.1.3        npm   
crc-32                              1.2.2        npm   
crc32-stream                        4.0.3        npm   
cross-fetch                         3.1.5        npm   
css-select                          4.3.0        npm   
css-what                            6.1.0        npm   
d3-interpolate-path                 2.3.0        npm   
debug                               2.6.9        npm   
debug                               4.3.4        npm   
define-data-property                1.1.4        npm   
depd                                2.0.0        npm   
destroy                             1.2.0        npm   
detect-libc                         2.0.3        npm   
devtools-protocol                   0.0.1107588  npm   
dfa                                 1.2.0        npm   
dom-serializer                      1.4.1        npm   
domelementtype                      2.3.0        npm   
domhandler                          4.3.1        npm   
domutils                            2.8.0        npm   
ee-first                            1.1.1        npm   
emoji-regex                         8.0.0        npm   
enabled                             2.0.0        npm   
encodeurl                           1.0.2        npm   
end-of-stream                       1.4.4        npm   
entities                            2.2.0        npm   
error-ex                            1.3.2        npm   
es-define-property                  1.0.0        npm   
es-errors                           1.3.0        npm   
esbuild                             0.18.20      npm   
escalade                            3.1.2        npm   
escape-html                         1.0.3        npm   
escape-string-regexp                1.0.5        npm   
etag                                1.8.1        npm   
express                             4.19.2       npm   
extract-zip                         2.0.1        npm   
fast-deep-equal                     3.1.3        npm   
fast-image-size                     0.1.3        npm   
fd-slicer                           1.1.0        npm   
fecha                               4.2.3        npm   
file-stream-rotator                 0.6.1        npm   
fill-range                          7.0.1        npm   
finalhandler                        1.2.0        npm   
fn.name                             1.1.0        npm   
fontkit                             2.0.2        npm   
forwarded                           0.2.0        npm   
